FS_method,Classifier,Accuracy,Precision,Recall,F1_score,AUC,Best_params,Outer_Fold,Top_k
Boruta,SVM (RBF),0.6521060842433697,0.6525965461933897,0.6521060842433697,0.6511880708759835,1.0,"{'pca__n_components': 0.95, 'clf__gamma': 'scale', 'clf__C': 50}",1,90
Boruta,Logistic Regression,0.5304212168486739,0.529775843697743,0.5304212168486739,0.5288549782096922,0.7059740158553927,{'clf__C': 10},1,90
Boruta,XGBoost,0.8034321372854915,0.8057475808323374,0.8034321372854915,0.8028122040213417,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",1,90
Boruta,LightGBM,0.8237129485179407,0.8268239590793596,0.8237129485179407,0.8230582844832272,1.0,"{'num_leaves': 31, 'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.03}",1,90
Boruta,Stacking Ensemble,0.8096723868954758,0.8244429574845792,0.8096723868954758,0.806935195485405,0.9996396501684879,"{'final_estimator__n_estimators': 200, 'final_estimator__max_depth': 3, 'final_estimator__learning_rate': 0.03}",1,90
Boruta,Soft Voting Ensemble,0.8252730109204368,0.8282040876846357,0.8252730109204368,0.8246576185469005,1.0,"{'weights': (1, 1)}",1,90
RFE_SVM,Random Forest,0.7931570762052877,0.7931495779522452,0.7931570762052877,0.7931360542095627,0.9999806449115473,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",1,10
RFE_SVM,SVM (RBF),0.6920684292379471,0.698021967340591,0.6920684292379471,0.6888564733226704,0.8785758525916465,"{'pca__n_components': 0.95, 'clf__gamma': 'scale', 'clf__C': 10}",1,10
RFE_SVM,Logistic Regression,0.5707620528771384,0.5721702208956249,0.5707620528771384,0.5657100153653939,0.6059400766461502,{'clf__C': 100},1,10
RFE_SVM,XGBoost,0.7900466562986003,0.7905123490849443,0.7900466562986003,0.7898482862403757,1.0,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",1,10
RFE_SVM,LightGBM,0.7993779160186625,0.7993914903580205,0.7993779160186625,0.7993827695947926,1.0,"{'num_leaves': 127, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.05}",1,10
RFE_SVM,Stacking Ensemble,0.7247278382581649,0.7253835078664902,0.7247278382581649,0.7242793133319588,0.9752835520458328,"{'final_estimator__n_estimators': 300, 'final_estimator__max_depth': 2, 'final_estimator__learning_rate': 0.03}",1,10
RFE_SVM,Soft Voting Ensemble,0.7651632970451011,0.7652899111949568,0.7651632970451011,0.765180338359933,0.998896759958193,"{'weights': (1, 1)}",1,10
RFE_SVM,Random Forest,0.8164251207729468,0.8305080012922854,0.8164251207729468,0.8130669483072229,1.0,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",1,30
