FS_method,Classifier,Top_k,F1_mean,F1_std,Accuracy_mean,Precision_mean,Recall_mean,AUC_mean
mRMR,Soft Voting Ensemble,30,0.8123408490763677,0.016259516639220966,0.8142047908488935,0.8215067435994335,0.8142047908488935,0.9999572293150275
Boruta,Random Forest,70,0.8122967601679524,0.005980435051288161,0.814427943245921,0.8252687289190254,0.814427943245921,1.0
RFE_SVM,Random Forest,50,0.8121216465545206,0.015620217472470423,0.8138157276147093,0.8228820174044622,0.8138157276147093,1.0
RF_importance,Stacking Ensemble,30,0.8120042000191375,0.017147087604741415,0.8138254532814281,0.8250632365145708,0.8138254532814281,0.9864261537606551
RF_importance,Soft Voting Ensemble,70,0.8119216580412872,0.01157025323135253,0.8143897596666833,0.8219073947211415,0.8143897596666833,0.9999964590238237
Boruta,XGBoost,70,0.8116525641003006,0.014551098854577622,0.8126475915567233,0.8168377105216217,0.8126475915567233,1.0
Boruta,LightGBM,90,0.8112478817742058,0.011659799999269846,0.8124880313408239,0.816670125256253,0.8124880313408239,1.0
RFE_SVM,Soft Voting Ensemble,70,0.8108867658067813,0.013803363634730897,0.8116645307570978,0.8146604121745367,0.8116645307570978,0.9999951141338336
RF_importance,XGBoost,30,0.8106596061442314,0.009608574855390463,0.8109846102886081,0.8147622618959353,0.8109846102886081,1.0
RF_importance,LightGBM,90,0.810577947880683,0.009101486146604094,0.8118960066515434,0.8160671767791493,0.8118960066515434,1.0
RFE_SVM,Random Forest,90,0.8101805201028062,0.010687792450597415,0.8111414075001301,0.8178892203750578,0.8111414075001301,1.0
RFE_SVM,Random Forest,70,0.8096258366918124,0.0057102221461288296,0.8110304472735467,0.8189100107063987,0.8110304472735467,1.0
RF_importance,Stacking Ensemble,90,0.8095359530615553,,0.8121019108280255,0.8224727493597742,0.8121019108280255,0.996087398373984
RF_importance,LightGBM,30,0.8094734498348896,0.015898343338246156,0.8097815146495059,0.8125931669318569,0.8097815146495059,1.0
Boruta,Soft Voting Ensemble,50,0.8093444675532785,0.0044642113506906346,0.8102468249585213,0.8140402223752824,0.8102468249585213,1.0
RF_importance,LightGBM,70,0.808912946221891,0.019256441044271263,0.8105426759003315,0.8140221386614304,0.8105426759003315,1.0
Boruta,LightGBM,70,0.8088983557040539,0.01065414269519565,0.8095675627464264,0.8120499641638381,0.8095675627464264,1.0
Boruta,Stacking Ensemble,50,0.8088824163660133,0.025670624488917063,0.81053280128326,0.8198413234527978,0.81053280128326,0.9950992901715657
mRMR,Random Forest,50,0.8085746868174043,0.018860555140035432,0.812242202000149,0.826259417457481,0.812242202000149,1.0
RF_importance,Random Forest,70,0.808315927867694,0.02507735028884623,0.8120236754035665,0.824930251505656,0.8120236754035665,1.0
RFE_SVM,LightGBM,50,0.8080890741095277,0.013026966420442761,0.8084320311170479,0.8097710662777606,0.8084320311170479,1.0
RFE_SVM,Soft Voting Ensemble,30,0.8076822928549005,0.012292328234062646,0.8090748449870361,0.8121977420500133,0.8090748449870361,1.0
ReliefF,Random Forest,50,0.807434618564146,0.014753231906403961,0.8100048268173827,0.8227145144350944,0.8100048268173827,1.0
RFE_SVM,LightGBM,30,0.8070630409345759,0.008905312269158689,0.8079961306730276,0.8095715064367086,0.8079961306730276,1.0
RFE_SVM,Soft Voting Ensemble,50,0.8058222460233296,0.013402044327831,0.8063764343767071,0.8078086868972473,0.8063764343767071,0.999996966166691
ReliefF,Random Forest,30,0.8057672247057317,0.019170571309351056,0.8070820075037662,0.8145432246469252,0.8070820075037662,1.0
ReliefF,XGBoost,50,0.8054912103791864,0.005252888124115731,0.8066117132622687,0.8116907759790429,0.8066117132622687,1.0
Boruta,Random Forest,30,0.8053786028305266,0.015727327003212985,0.8079725174460696,0.8148296624088583,0.8079725174460696,1.0
LASSO,XGBoost,70,0.804793608975433,0.021429023845492664,0.8061095663031104,0.809960044710765,0.8061095663031104,1.0
Boruta,XGBoost,90,0.8046952038384889,0.002941218848567327,0.8057854604175003,0.8090581590946803,0.8057854604175003,1.0
RFE_SVM,Stacking Ensemble,70,0.8038398688227933,0.006294641050524586,0.8061440260252366,0.8166770960898695,0.8061440260252366,0.9960166368165546
mRMR,XGBoost,90,0.8031020075154011,0.013938927934790464,0.8046209139128875,0.8094992581588386,0.8046209139128875,1.0
mRMR,Random Forest,90,0.8029635901799986,0.013200778313802085,0.8067533255085694,0.8229653354474751,0.8067533255085694,1.0
LASSO,Random Forest,50,0.8028275720480172,0.022490287788646292,0.8045185588049044,0.809521560331247,0.8045185588049044,1.0
LASSO,XGBoost,90,0.802608068344374,0.013860066974342031,0.8039854580249823,0.808639607024873,0.8039854580249823,0.9999859341153966
LASSO,Random Forest,90,0.8025688932527224,0.009189560655604716,0.804920258021734,0.8143660476446287,0.804920258021734,1.0
ReliefF,Soft Voting Ensemble,50,0.8024435922945686,0.011952724257033857,0.8043623354514188,0.8120187232268435,0.8043623354514188,1.0
RF_importance,XGBoost,50,0.8016756946167556,0.01025612388372007,0.8033332424691807,0.8074175580686586,0.8033332424691807,1.0
RF_importance,XGBoost,70,0.8014886987053328,0.009611814796680015,0.8036693895615702,0.8090481745741913,0.8036693895615702,1.0
