FS_method,Classifier,Top_k,F1_mean,F1_std,Accuracy_mean,AUC_mean
Boruta,SVM (RBF),70,0.6398755107554982,0.014439177771426824,0.641395908543923,0.6885401679205941
RFE_SVM,SVM (RBF),30,0.6385639677810809,0.026550550631174053,0.6401925391095066,0.6838881323885272
Boruta,SVM (RBF),50,0.632666022710914,0.04085399687088974,0.6341756919374247,0.6686250148168065
LASSO,SVM (RBF),90,0.6317560335765681,0.0253749553442456,0.6329723225030084,0.6725570499248478
RF_importance,SVM (RBF),10,0.6301884349621374,0.07657900248539344,0.6293622141997594,0.6855749193949666
Boruta,SVM (RBF),90,0.6240971591615132,0.007827344915130284,0.631768953068592,0.6809695427493375
RFE_SVM,SVM (RBF),50,0.6218940618860461,0.030035955938803705,0.6245487364620939,0.6908164951771897
RFE_SVM,SVM (RBF),70,0.6200057499090756,0.04692197498030452,0.6245487364620939,0.6918489736169293
ReliefF,SVM (RBF),10,0.6187566834033287,0.05271459287777122,0.618531889290012,0.5893736514296893
mRMR,SVM (RBF),10,0.6149000340176906,0.05279822727949854,0.614921780986763,0.633450438304424
LASSO,SVM (RBF),50,0.6120818156773835,0.039377996057484925,0.6125150421179302,0.6487961525451659
mRMR,SVM (RBF),30,0.6081368102531214,0.01776299273169766,0.6089049338146811,0.6171133231117446
ReliefF,SVM (RBF),90,0.6052075118771242,0.039165451010112685,0.605294825511432,0.5741219777328695
ReliefF,SVM (RBF),30,0.6009369895807976,0.032519727139257104,0.5980746089049339,0.6162110639221926
Boruta,SVM (RBF),30,0.5981234285377885,0.03422204757628125,0.5968712394705175,0.662396214093136
ReliefF,SVM (RBF),50,0.5952191087914279,0.05131331695212293,0.5932611311672683,0.5886796707633329
Boruta,SVM (RBF),10,0.591557647153006,0.05392743014954051,0.5902527075812274,0.5833322491767639
LASSO,SVM (RBF),30,0.591116347138064,0.01953918457550728,0.5944645006016848,0.6008712924656098
ReliefF,SVM (RBF),70,0.587881739017129,0.044968971972943486,0.5872442839951866,0.5732776205349213
LASSO,SVM (RBF),10,0.5685161837386082,0.006809158769563681,0.565583634175692,0.5989255928087814
RFE_SVM,Logistic Regression,10,0.5619060231405469,0.012036715035496597,0.5643802647412756,0.5836345682438816
ReliefF,Logistic Regression,90,0.5375169162373167,0.003309995104761731,0.5354993983152828,0.480383030106787
ReliefF,Logistic Regression,70,0.5353318651374233,0.021360843183077287,0.5330926594464501,0.4775446278997975
RFE_SVM,Logistic Regression,30,0.5347091651893493,0.021551126430340333,0.53309265944645,0.5932901469602337
RFE_SVM,Logistic Regression,90,0.5260729603546254,0.013685867090636749,0.5234657039711191,0.5664702014346844
RF_importance,Logistic Regression,90,0.5236521104637151,0.028013658963559583,0.5222623345367027,0.5153872334219611
ReliefF,Logistic Regression,50,0.5207698837333531,0.050686368065946986,0.5174488567990373,0.477959498480414
ReliefF,Logistic Regression,10,0.5201358719825642,0.022525797798948127,0.516245487364621,0.514301229770843
ReliefF,Logistic Regression,30,0.518699963699574,0.020049186456009692,0.5150421179302046,0.46088869036777474
Boruta,Logistic Regression,10,0.5180046072639872,0.0068304977637114175,0.5144404332129964,0.5221254672714815
LASSO,Logistic Regression,10,0.5177768091278208,0.030105520626188393,0.5138387484957881,0.47559820547192294
RFE_SVM,Logistic Regression,50,0.5171696799272726,0.02395887105488643,0.5150421179302046,0.5460225266855101
RF_importance,Logistic Regression,30,0.5159517547676664,0.008222791867684168,0.5138387484957883,0.5064201342812235
RFE_SVM,Logistic Regression,70,0.5155796518812112,0.02962377968347079,0.5144404332129964,0.5875478113047174
Boruta,Logistic Regression,30,0.5130721134414112,0.03488016649841948,0.5102286401925391,0.48575988453652225
RF_importance,Logistic Regression,50,0.511277357660473,0.024433295756884507,0.5090252707581228,0.5160426261452308
LASSO,Logistic Regression,50,0.505014571041631,0.028435091263654257,0.5018050541516246,0.49274610916284156
mRMR,Logistic Regression,50,0.5036263526116556,0.021387967894713412,0.5006016847172082,0.47250972448288947
LASSO,Logistic Regression,30,0.5027539932662596,0.04122025454664825,0.4993983152827918,0.4919577265670399
LASSO,Logistic Regression,70,0.5022768133262954,0.027767696116132123,0.4993983152827918,0.4894888209805337
RF_importance,Logistic Regression,10,0.4959892765715545,0.023464312727962698,0.49578820697954273,0.5391136385611524
mRMR,Logistic Regression,70,0.49591930200459605,0.010563344143729336,0.4921780986762936,0.4590868221491742
RF_importance,Logistic Regression,70,0.495419283409783,0.049370587094077385,0.4945848375451263,0.5033959799153168
mRMR,Logistic Regression,90,0.49396580014407365,0.041544741075102226,0.4909747292418772,0.472159260833294
mRMR,Logistic Regression,30,0.492448751621755,0.026213547855221866,0.4885679903730445,0.47520742725951876
Boruta,Logistic Regression,50,0.49122703872899215,0.04798227222744921,0.4885679903730445,0.47709024583531284
Boruta,Logistic Regression,90,0.4903513064988389,0.025464213831190474,0.4909747292418773,0.49995984605297944
mRMR,Logistic Regression,10,0.48379311220646093,0.07480534339538006,0.48375451263537905,0.5203490566552919
LASSO,Logistic Regression,90,0.47953386753476496,0.025832623957509036,0.4765342960288808,0.4899906650103967
Boruta,Logistic Regression,70,0.4754393892863211,0.010212527938274962,0.47533092659446446,0.49977104219408863
