Outer_Fold,FS_method,Top_k,Classifier,Inner_F1,Test_F1,Test_Accuracy,Test_AUC
1,mRMR,70,Logistic Regression,0.4881913196916889,0.4842832085716814,0.4801444043321299,0.4696930054072911
1,mRMR,70,XGBoost,0.7880375192488097,0.7509121342718065,0.7581227436823105,0.8551369265654979
1,mRMR,70,LightGBM,0.7944123306999734,0.7442321227439875,0.7509025270758123,0.8446712018140589
1,mRMR,70,Stacking Ensemble,0.8064829029011145,0.75834759295026,0.7653429602888087,0.8272719344147915
1,mRMR,70,Soft Voting Ensemble,0.8157554694888417,0.7566662109727715,0.7689530685920578,0.8520408163265306
1,mRMR,90,Random Forest,0.8084950311583392,0.7558621858237637,0.7725631768953068,0.8658642944357231
1,mRMR,90,SVM (RBF),0.4851127409053581,0.6768278882070331,0.6823104693140795,0.6989795918367347
1,mRMR,90,Logistic Regression,0.5008200098299082,0.4510287406291445,0.447653429602888,0.47505668934240364
1,mRMR,90,XGBoost,0.8177681800502721,0.7342256469374753,0.740072202166065,0.8567067852782139
1,mRMR,90,LightGBM,0.8087080787446297,0.7557011116274082,0.7617328519855595,0.843755450898308
1,mRMR,90,Stacking Ensemble,0.8117136020632408,0.7597377748006403,0.7653429602888087,0.8324175824175823
1,mRMR,90,Soft Voting Ensemble,0.8125512167842996,0.7613379494670638,0.776173285198556,0.8575353218210361
1,ReliefF,10,Random Forest,0.7704600162301586,0.7447577541440359,0.7581227436823105,0.8426434676434676
1,ReliefF,10,SVM (RBF),0.7363434807704379,0.6606498194945848,0.6606498194945848,0.6567024245595674
1,ReliefF,10,Logistic Regression,0.5035673331036725,0.5380361783352015,0.5342960288808665,0.5072387929530786
1,ReliefF,10,XGBoost,0.7617759836637343,0.7301670393914885,0.7364620938628159,0.8334641548927262
1,ReliefF,10,LightGBM,0.7587604897860601,0.7102290907989428,0.7148014440433214,0.8260073260073261
1,ReliefF,10,Stacking Ensemble,0.7158008923775173,0.7346271192733483,0.7545126353790613,0.825091575091575
1,ReliefF,10,Soft Voting Ensemble,0.763548317722289,0.7526716042031087,0.7617328519855595,0.8238269666841096
1,ReliefF,30,Random Forest,0.801300712560542,0.7602812138870501,0.776173285198556,0.8736263736263736
1,ReliefF,30,SVM (RBF),0.5956481682362069,0.5800910520547259,0.5776173285198556,0.616256759113902
1,ReliefF,30,Logistic Regression,0.506861194031919,0.5378578419001573,0.5342960288808665,0.46406767835339263
1,ReliefF,30,XGBoost,0.8001441348903767,0.7376820044578428,0.7472924187725631,0.8770713413570554
1,ReliefF,30,LightGBM,0.8016066693229885,0.7449524070960646,0.7509025270758123,0.8621140763997907
1,ReliefF,30,Stacking Ensemble,0.791400597310819,0.7492412049828907,0.7653429602888087,0.8204692133263561
1,ReliefF,30,Soft Voting Ensemble,0.7956069938228213,0.7591830719087036,0.776173285198556,0.8720129077271934
1,ReliefF,50,Random Forest,0.8020443323040268,0.7636125926230094,0.779783393501805,0.871162567591139
1,ReliefF,50,SVM (RBF),0.6831935121132994,0.6034116708572832,0.6028880866425993,0.6218820861678005
1,ReliefF,50,Logistic Regression,0.5239380339883961,0.5454347554795176,0.5415162454873647,0.5001744287458573
1,ReliefF,50,XGBoost,0.8010381262216487,0.7526716042031087,0.7617328519855595,0.8781615210186638
1,ReliefF,50,LightGBM,0.8026024272969207,0.7799773247274683,0.7870036101083032,0.8627681841967556
1,ReliefF,50,Stacking Ensemble,0.7887426989617504,0.7569568602141863,0.7725631768953068,0.8284057212628642
1,ReliefF,50,Soft Voting Ensemble,0.793772703301955,0.7801038259080733,0.7942238267148014,0.8668236525379382
1,ReliefF,70,Random Forest,0.8271458440554729,0.7470223964925258,0.7617328519855595,0.8755668934240363
1,ReliefF,70,SVM (RBF),0.5473565375290109,0.5793567140614956,0.5776173285198556,0.6019317983603697
1,ReliefF,70,Logistic Regression,0.5288346596641657,0.5490047501425043,0.5451263537906137,0.4825571254142682
1,ReliefF,70,XGBoost,0.8197931535633851,0.7631041082447595,0.7689530685920578,0.8590179661608233
1,ReliefF,70,LightGBM,0.8123816529732037,0.7557011116274082,0.7617328519855595,0.8640327926042212
1,ReliefF,70,Soft Voting Ensemble,0.8295596813818049,0.7590227583103397,0.7725631768953068,0.8717076574219432
1,ReliefF,90,Random Forest,0.8264079825478579,0.7747196479145937,0.7906137184115524,0.8649921507064364
1,ReliefF,90,SVM (RBF),0.5341884555475331,0.6308207331142979,0.628158844765343,0.5896345717774288
1,ReliefF,90,Logistic Regression,0.520467997120066,0.5380788173635382,0.5342960288808665,0.4875719518576661
1,ReliefF,90,XGBoost,0.8255313688868606,0.7738863693823658,0.779783393501805,0.8652537938252224
1,ReliefF,90,LightGBM,0.8271130810464054,0.75834759295026,0.7653429602888087,0.854482818768533
1,ReliefF,90,Soft Voting Ensemble,0.846030411659172,0.7791134062215007,0.7942238267148014,0.865471829757544
2,LASSO,10,Random Forest,0.7449352808815048,0.7786004573086664,0.7906137184115524,0.7702119309262166
2,LASSO,10,SVM (RBF),0.5816760396172409,0.5632890834494064,0.5595667870036101,0.5794086865515437
2,LASSO,10,Logistic Regression,0.4660562223091947,0.5060601092709539,0.5018050541516246,0.48918541775684643
2,LASSO,10,XGBoost,0.7203344916988096,0.7762528422624747,0.779783393501805,0.7840572126286411
2,LASSO,10,LightGBM,0.7335924230792388,0.766053191239343,0.7689530685920578,0.771716378859236
2,LASSO,10,Soft Voting Ensemble,0.7273874066175589,0.7591830719087036,0.776173285198556,0.7645211930926217
2,LASSO,30,Random Forest,0.7778828119110167,0.8057111262887435,0.8158844765342961,0.8222135007849294
2,LASSO,30,SVM (RBF),0.5281228124578385,0.6134470621082497,0.6137184115523465,0.5751787894645037
